OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
N-SAT-110 (JCSAT-110),2000-060A,2024-08-16T07:56:28.635936,0.99184272,0.0007228,5.0756,78.0884,48.1095,315.0804,0,U,26559,999,8718,0,-1.75e-06,0
COSMOS 2375 [GLONASS],2000-063A,2024-08-15T17:18:26.246304,2.13101727,0.0006585,65.5517,336.5979,29.9928,330.0688,0,U,26564,999,18549,0,-6.4e-07,0
COSMOS 2376 [GLONASS],2000-063B,2024-08-11T20:14:01.819104,2.13102587,0.0003814,65.5579,336.7582,37.7924,288.5673,0,U,26565,999,18544,0,-7.2e-07,0
COSMOS 2374 [GLONASS],2000-063C,2024-08-16T10:16:47.799264,2.13099706,0.0075668,65.5301,336.3393,212.1984,209.9872,0,U,26566,999,18548,0,-6.2e-07,0
SL-12 R/B(2),2000-063F,2024-08-15T14:46:04.461024,2.13431088,0.0011471,65.5341,335.6195,2.8507,7.7523,0,U,26569,999,18581,0,-6.4e-07,0
USA 153,2000-065A,2024-08-16T20:14:51.849024,1.00272268,9.36e-05,10.458,40.5615,217.2493,146.2021,0,U,26575,999,2490,0,-3.22e-06,0
IABS R/B,2000-065C,2024-08-16T07:41:34.544544,1.01184113,0.0054914,13.7861,6.6244,259.3672,100.0746,0,U,26577,999,1944,0,-2.79e-06,0
THURAYA-1,2000-066A,2024-08-16T11:41:25.065024,0.98983197,0.0004648,9.068,24.2444,36.2684,143.1977,0,U,26578,999,8653,0,6.6e-07,0
AMC-6,2000-067A,2024-08-16T17:35:37.484736,1.0027236,0.0002585,0.0163,67.5422,70.8278,312.1325,0,U,26580,999,8727,0,1.07e-06,0
SL-12 R/B(2),2000-067D,2024-08-16T09:05:09.576384,1.93855511,0.5501306,18.9216,350.2536,226.5846,72.2272,0,U,26583,999,16825,0,1.09e-06,0
INTELSAT 12 (IS-12),2000-068A,2024-08-16T21:31:59.981664,0.99029426,0.0010518,6.6599,71.7931,184.0195,158.4058,0,U,26590,999,8695,0,-2.37e-06,0
ARIANE 44LP R/B,2000-068B,2024-08-16T19:04:09.598656,3.19729536,0.6584543,6.6107,141.5844,25.0717,355.9269,0,U,26591,999,23757,0.004684,0.00019499,0
CHINASAT 32 (BEIDOU-1 G1),2000-069A,2024-08-16T12:22:01.308288,0.98906077,0.0008733,11.2393,37.2047,333.0304,46.7868,0,U,26599,999,8656,0,-1.5e-07,0
EUTELSAT 33B,2002-051A,2024-08-16T13:38:49.623360,1.00375972,0.0010775,7.3704,66.9625,326.475,223.2127,0,U,27554,999,7964,0,-2.22e-06,0
DELTA 4 R/B,2002-051B,2024-08-16T03:56:56.109120,2.35828992,0.7104989,13.8113,294.2853,89.1564,344.1258,0,U,27555,999,18707,-8.35e-06,-5.7e-07,0
ALSAT 1,2002-054A,2024-08-16T19:45:01.011168,14.75446316,0.0019532,98.2027,29.9696,263.6528,96.2456,0,U,27559,999,16445,0.0005459,3.669e-05,0
MOZHAYETS,2002-054B,2024-08-16T21:04:09.091200,14.60034057,0.0038154,98.4943,59.8664,293.1341,178.2814,0,U,27560,999,15347,0.00054332,2.584e-05,0
RUBIN-3 & SL-8 R/B,2002-054C,2024-08-16T10:28:10.024032,14.57401618,0.0045754,98.524,64.7976,36.7187,323.7131,0,U,27561,999,15307,0.00038286,1.711e-05,0
TDRS 10,2002-055A,2024-08-16T13:41:36.619872,1.00270916,0.0003562,9.6752,44.9692,354.6817,320.0243,0,U,27566,999,7951,0,8.8e-07,0
MIDORI II (ADEOS-II),2002-056A,2024-08-16T10:02:42.619776,14.28466779,8.12e-05,98.6945,175.8714,134.1442,225.9806,0,U,27597,999,12885,0.00053189,1.287e-05,0
FEDSAT,2002-056B,2024-08-16T18:33:53.203680,14.29259249,0.0009945,98.7601,184.4438,126.0524,234.158,0,U,27598,999,13012,0.0002949,7.05e-06,0
WEOS,2002-056C,2024-08-16T19:53:51.263520,14.30225274,0.0010845,98.7172,181.0305,109.1618,251.0739,0,U,27599,999,13065,0.00036784,9.09e-06,0
MICRO LABSAT,2002-056D,2024-08-16T10:04:15.331296,14.30294539,0.0011812,98.7132,179.8107,107.3695,252.878,0,U,27600,999,13077,0.00033521,8.26e-06,0
H-2A R/B,2002-056E,2024-08-16T10:18:32.384736,14.32923591,0.0072375,98.2354,203.5279,62.3197,50.4827,0,U,27601,999,13241,0.00056435,1.547e-05,0
NSS-6,2002-057A,2024-08-16T13:52:34.099680,0.99124528,0.0002547,3.637,82.612,147.6462,57.9058,0,U,27603,999,7928,0,-1.9e-06,0
ARIANE 44L R/B,2002-057B,2024-08-16T19:15:20.618208,2.47151752,0.7094337,7.1277,192.6295,178.194,187.3934,0,U,27604,999,18302,0.0021852,1.902e-05,0
RUBIN-2 & SAFIR-M,2002-058A,2024-08-16T19:59:31.421184,14.77368716,0.0027896,64.5567,26.8976,81.8842,278.5424,0,U,27605,999,16567,0.00045771,3.146e-05,0
LATINSAT B,2002-058B,2024-08-16T03:09:17.442432,14.74754326,0.0036862,64.5569,141.0844,99.9995,260.527,0,U,27606,999,16319,0.00048222,3.133e-05,0
SAUDISAT 1C (SO-50),2002-058C,2024-08-16T04:04:35.397696,14.79378306,0.0025446,64.5557,37.1306,79.6574,280.7397,0,U,27607,999,16519,0.00070825,5.187e-05,0
UNISAT-2,2002-058D,2024-08-16T16:54:46.257984,14.81232031,0.0017265,64.5559,292.8225,30.4041,329.8061,0,U,27608,999,16762,0.00048655,3.671e-05,0
TRAILBLAZER 2,2002-058E,2024-08-16T11:41:56.717664,14.79992658,0.0020482,64.5549,241.2093,341.9487,18.0888,0,U,27609,999,16852,0.00025081,1.767e-05,0
SL-24 R/B,2002-058F,2024-08-16T09:48:55.700928,14.28905792,0.0315722,64.5558,273.9426,250.7631,195.4578,0,U,27610,999,12918,0.00027352,1.053e-05,0
LATINSAT A,2002-058H,2024-08-16T09:21:50.483232,14.82511965,0.0018145,64.5539,237.7953,358.4992,1.6056,0,U,27612,999,16821,0.00047778,3.718e-05,0
SL-8 DEB,2002-054D,2024-08-16T02:34:12.626976,14.70026814,0.0031436,98.3464,76.3059,161.7051,198.5293,0,U,27768,999,15659,0.0013153,7.906e-05,0
SL-8 DEB,2002-054E,2024-08-14T20:15:21.586176,14.73972327,0.0032666,98.3075,71.4122,60.9658,299.4816,0,U,27769,999,15841,0.0014691,9.689e-05,0
RITE TARGET 1,2002-056F,2024-08-13T03:53:06.216000,14.34849331,0.0010899,98.6614,183.3966,44.873,315.3334,0,U,28454,999,58404,0.0013583,3.816e-05,0
RITE TARGET 2,2002-056G,2024-08-16T03:55:06.615264,14.3504364,0.0011159,98.6653,187.3284,38.2229,321.9745,0,U,28455,999,57879,0.001245,3.508e-05,0
COSMOS 2406,2004-021A,2024-08-15T23:48:07.783200,14.11945851,0.0008348,71.0004,59.895,89.4228,270.7849,0,U,28352,999,4010,0.00033062,5.58e-06,0
SL-16 R/B,2004-021B,2024-08-16T10:02:12.490368,14.14441979,0.000571,71.0041,349.126,211.1791,148.8994,0,U,28353,999,4219,7.2181e-05,9.1e-07,0
SL-16 DEB,2004-021C,2024-08-16T10:39:10.627200,13.6873715,0.0222956,70.9567,11.4109,213.2194,145.4743,0,U,28354,999,761,0.00076685,7.42e-06,0
SL-16 DEB,2004-021D,2024-08-15T23:58:36.721632,13.67998987,0.0228054,70.9672,39.352,187.8353,309.4874,0,U,28355,999,699,0.00071963,6.9e-06,0
SL-16 DEB,2004-021E,2024-08-15T22:16:09.653664,13.69140479,0.0218467,71.0612,80.5569,78.9949,26.4661,0,U,28356,999,790,0.00047594,4.47e-06,0
SL-16 DEB,2004-021F,2024-08-16T03:07:25.937184,13.73272964,0.0200746,71.0753,350.0422,330.9945,207.1372,0,U,28357,999,1087,0.00021203,1.84e-06,0
INTELSAT 10-02,2004-022A,2024-08-16T19:58:14.073312,1.00270314,9.42e-05,0.0457,268.7963,167.0761,188.4057,0,U,28358,999,7391,0,-9e-08,0
BREEZE-M DEB [TANK],2004-022B,2024-08-16T07:23:16.512000,6.39397031,0.4548691,49.5205,270.4409,331.7894,9.7288,0,U,28359,999,44929,0.0012104,8.783e-05,0
BREEZE-M R/B,2004-022C,2024-08-15T09:27:36.176544,2.01486297,0.5897532,23.4452,194.7981,154.1164,254.1367,0,U,28360,999,14783,0,-2.49e-06,0
NAVSTAR 55 (USA 178),2004-023A,2024-08-15T07:12:42.527808,2.00574791,0.0150999,54.4488,113.8699,282.6104,258.2041,0,U,28361,999,14758,0,-1.3e-07,0
APSTAR-5 (TELSTAR 18),2004-024A,2024-08-16T12:41:18.951648,0.99011653,0.0003833,5.2554,77.6089,19.0784,331.5401,0,U,28364,999,7366,0,-3.5e-07,0
BLOCK DM-SL R/B,2004-024B,2024-08-16T11:33:06.899904,3.73395799,0.5977264,0.1255,321.6279,144.1012,235.8559,0,U,28365,999,27470,-0.00033864,-4.1e-07,0
APRIZESAT 2,2004-025A,2024-08-16T02:45:21.744000,14.37384546,0.0107837,98.0811,63.7182,112.8768,248.3848,0,U,28366,999,5535,0.00032067,9.83e-06,0
SL-24 R/B,2004-025B,2024-08-16T02:42:52.062912,13.88419655,0.0349087,98.1774,256.5185,306.1382,117.5426,0,U,28367,999,1993,0.00012348,2e-06,0
DEMETER,2004-025C,2024-08-16T20:25:34.479264,14.79151468,0.0002442,98.037,192.0274,102.6467,257.5017,0,U,28368,999,8154,0.00088083,6.482e-05,0
SAUDICOMSAT 1,2004-025D,2024-08-16T09:52:54.816384,14.54151131,0.0031455,98.5413,211.7805,274.5263,85.234,0,U,28369,999,6673,0.00047514,1.973e-05,0
SAUDICOMSAT 2,2004-025E,2024-08-16T12:11:04.488576,14.48852109,0.0057549,98.6333,212.8261,126.4711,234.1804,0,U,28370,999,6308,0.00044991,1.689e-05,0
SAUDISAT 2,2004-025F,2024-08-16T21:16:19.826112,14.55619345,0.0024873,98.4884,203.9911,189.8737,170.1974,0,U,28371,999,6837,0.00038288,1.629e-05,0
APRIZESAT 1,2004-025G,2024-08-16T10:14:26.761632,14.50805399,0.0045636,98.5957,212.018,33.0845,327.3188,0,U,28372,999,6475,0.0004305,1.67e-05,0
